company,subject,date_only,email_body,rule_label,rule_confidence,final_label,sentiment_label,sentiment_compound,extracted_role,contact_person,contact_email,dates_mentioned,summary
Spotify,Update: Your application for Applied Scientist,2025-04-10,"Dear Michael Gary Scott,

We have completed our review of applications for the Applied Scientist position at Spotify. We appreciate your interest in this opportunity.

Regrettably, we will not be moving forward with your candidacy. The position has been filled by another candidate.

We wish you all the best in your career endeavors and encourage you to monitor our openings for future roles.

Best,
Robert Kim
Spotify",rejection,0.95,rejection,negative,-0.6667,Applied Scientist,,,,"dear michael gary scott, we have completed our review of applications for the applied scientist position at spotify. regrettably, we will not be moving forward with your candidacy."
Cohere,Tips for your job search,2025-02-03,"Hi Micheal Gary Scott,

Looking for your next opportunity? Here are this week's tips:

1. Tailor your resume for each application
2. Follow up within a week of applying
3. Practice common interview questions
4. Network with industry professionals

Explore open roles: [Browse Jobs]

Good luck!
Career Advice Team",in_process,0.3,in_process,positive,1.0,,,,,"hi micheal gary scott, looking for your next opportunity? practice common interview questions 4."
Citi,Application follow-up: Citi,2025-03-08,"Hi Micheal Gary Scott,

Thank you for your interest in Citi! Unfortunately, we have decided not to proceed with your candidacy for the current Machine Learning Engineer opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Daniel Wilson
Citi",rejection,0.95,rejection,negative,-0.6667,,Daniel Wilson,,,"unfortunately, we have decided not to proceed with your candidacy for the current machine learning engineer opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
Fortinet,Fortinet - Your Offer of Employment,2025-03-30,"Hi Micheal Gary Scott,

I'm delighted to inform you that you have been selected for the Product Manager role at Fortinet. Congratulations on your successful interview process!

The formal offer letter is attached to this email. Key highlights:
- Role: Product Manager
- Start date: March 08, 2025
- Compensation: $105,000 base + bonus

Please review carefully and let me know if you have any questions. We'd appreciate your decision within one week.

Welcome to the team!

Andrew Lewis
Fortinet",acceptance,0.95,acceptance,positive,1.0,Product Manager,,,"March 08, 2025","hi micheal gary scott, i'm delighted to inform you that you have been selected for the product manager role at fortinet. congratulations on your successful interview process!"
VMware,"Congratulations, Micheal Gary Scott!",2025-04-10,"Dear Micheal Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Senior Software Engineer. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at VMware.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Thomas Brown
Chief People Officer
VMware",acceptance,0.95,acceptance,positive,1.0,,Thomas Brown,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at vmware.
CVS Health,Tips for your job search,2025-01-19,"Hi Michael Gary Scott,

Looking for your next opportunity? Here are this week's tips:

1. Tailor your resume for each application
2. Follow up within a week of applying
3. Practice common interview questions
4. Network with industry professionals

Explore open roles: [Browse Jobs]

Good luck!
Career Advice Team",in_process,0.3,in_process,positive,1.0,,,,,"hi michael gary scott, looking for your next opportunity? practice common interview questions 4."
Boeing,Congratulations! You've been selected for an interview at Boeing,2025-01-26,"Dear Michael Gary Scott,

We are pleased to inform you that you have been shortlisted for the Associate Consultant position at Boeing.

We would like to invite you to participate in a virtual panel interview with members of our product team. The interview will consist of both technical and behavioral questions.

Please select a time slot that works for you using the calendar link below.

We look forward to meeting you!

Warm regards,
Stephanie Clark
Boeing People Operations",interview,0.95,interview,positive,1.0,Associate Consultant,Stephanie Clark,,,"dear michael gary scott, we are pleased to inform you that you have been shortlisted for the associate consultant position at boeing. we would like to invite you to participate in a virtual panel interview with members of our product team."
HashiCorp,Congratulations! You've been selected for an interview at HashiCorp,2025-03-21,"Dear Micheal Gary Scott,

We are pleased to inform you that you have been shortlisted for the Biostatistician position at HashiCorp.

We would like to invite you to participate in a virtual panel interview with members of our product team. The interview will consist of both technical and behavioral questions.

Please select a time slot that works for you using the calendar link below.

We look forward to meeting you!

Warm regards,
Laura White
HashiCorp People Operations",interview,0.95,interview,positive,1.0,Biostatistician,Laura White,,,"dear micheal gary scott, we are pleased to inform you that you have been shortlisted for the biostatistician position at hashicorp. we would like to invite you to participate in a virtual panel interview with members of our product team."
Booz Allen Hamilton,"Congratulations, Micheal Gary Scott!",2025-02-08,"Dear Micheal Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Research Scientist. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Booz Allen Hamilton.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Maria Garcia
Chief People Officer
Booz Allen Hamilton",acceptance,0.95,acceptance,positive,1.0,,Maria Garcia,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at booz allen hamilton.
Square,Square - Your Offer of Employment,2025-02-28,"Hi Micheal Gary Scott,

I'm delighted to inform you that you have been selected for the Marketing Analyst role at Square. Congratulations on your successful interview process!

The formal offer letter is attached to this email. Key highlights:
- Role: Marketing Analyst
- Start date: May 18, 2025
- Compensation: $125,000 base + bonus

Please review carefully and let me know if you have any questions. We'd appreciate your decision within one week.

Welcome to the team!

Thomas Brown
Square",acceptance,0.95,acceptance,positive,1.0,Marketing Analyst,,,"May 18, 2025","hi micheal gary scott, i'm delighted to inform you that you have been selected for the marketing analyst role at square. congratulations on your successful interview process!"
Boston Scientific,Complete your Boston Scientific application - Assessment Required,2025-04-29,"Hi Micheal Gary Scott,

Congratulations on being selected to move forward in the hiring process for Security Analyst at Boston Scientific!

To continue, please complete the following online assessment:

Assessment: Technical Skills Evaluation
Platform: HackerRank
Time limit: 90 minutes
Deadline: February 03, 2025

Please ensure you have a stable internet connection and a quiet environment.

Best of luck,
Boston Scientific Talent Team",action_required,0.95,action_required,positive,1.0,,,,"February 03, 2025","hi micheal gary scott, congratulations on being selected to move forward in the hiring process for security analyst at boston scientific! to continue, please complete the following online assessment: assessment: technical skills evaluation platform: hackerrank time limit: 90 minutes deadline: february 03, 2025 please ensure you have a stable internet connection and a quiet environment."
Monday.com,Application follow-up: Monday.com,2025-03-03,"Hi Michael Gary Scott,

Thank you for your interest in Monday.com! Unfortunately, we have decided not to proceed with your candidacy for the current Biostatistician opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Samantha Young
Monday.com",rejection,0.95,rejection,negative,-0.6667,,Samantha Young,,,"unfortunately, we have decided not to proceed with your candidacy for the current biostatistician opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
CrowdStrike,Thank you for applying to CrowdStrike,2025-02-06,"Dear Michael Gary Scott,

Thank you very much for your recent application to the AI Engineer position at CrowdStrike.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in CrowdStrike and hope you'll consider us for future opportunities.

Best regards,
Stephanie Clark
Talent Acquisition, CrowdStrike",rejection,0.95,rejection,neutral,0.0,AI Engineer,Stephanie Clark,,,"dear michael gary scott, thank you very much for your recent application to the ai engineer position at crowdstrike. unfortunately, after careful review, we are unable to offer you a position at this time."
Intercom,Complete your Intercom application - Assessment Required,2025-01-20,"Hi Michael Gary Scott,

Congratulations on being selected to move forward in the hiring process for Biostatistician at Intercom!

To continue, please complete the following online assessment:

Assessment: Technical Skills Evaluation
Platform: HackerRank
Time limit: 90 minutes
Deadline: February 06, 2025

Please ensure you have a stable internet connection and a quiet environment.

Best of luck,
Intercom Talent Team",action_required,0.95,action_required,positive,1.0,,,,"February 06, 2025","hi michael gary scott, congratulations on being selected to move forward in the hiring process for biostatistician at intercom! to continue, please complete the following online assessment: assessment: technical skills evaluation platform: hackerrank time limit: 90 minutes deadline: february 06, 2025 please ensure you have a stable internet connection and a quiet environment."
Lyft,Your job application status,2025-02-23,"Lyft

Micheal Gary Scott,

Thank you for your interest in the Clinical Data Analyst position at Lyft. At this time we're sorry to let you know we're moving forward with other candidates.

Please continue to visit our careers page for future opportunities.

Lyft Talent Acquisition Team",rejection,0.95,rejection,negative,-1.0,Clinical Data Analyst,,,,"lyft micheal gary scott, thank you for your interest in the clinical data analyst position at lyft. at this time we're sorry to let you know we're moving forward with other candidates."
3M,3M - Your Offer of Employment,2025-02-10,"Hi Micheal Gary Scott,

I'm delighted to inform you that you have been selected for the Operations Analyst role at 3M. Congratulations on your successful interview process!

The formal offer letter is attached to this email. Key highlights:
- Role: Operations Analyst
- Start date: March 11, 2025
- Compensation: $95,000 base + bonus

Please review carefully and let me know if you have any questions. We'd appreciate your decision within one week.

Welcome to the team!

Amanda Davis
3M",acceptance,0.95,acceptance,positive,1.0,Operations Analyst,,,"March 11, 2025","hi micheal gary scott, i'm delighted to inform you that you have been selected for the operations analyst role at 3m. congratulations on your successful interview process!"
Fortinet,Your weekly job digest,2025-01-28,"Hi Micheal Gary Scott,

Here's your weekly roundup of jobs based on your preferences:

Amazon - Data Engineer
AbbVie - Frontend Engineer
Anthropic - Data Scientist
Uber - Analytics Engineer

See all recommendations on your dashboard.

To manage your notification preferences or unsubscribe, visit settings.

Best,
The Jobs Team",in_process,0.3,unrelated,neutral,0.0,,,,,"hi micheal gary scott, here's your weekly roundup of jobs based on your preferences: amazon - data engineer abbvie - frontend engineer anthropic - data scientist uber - analytics engineer see all recommendations on your dashboard. best, the jobs team"
Danaher,Site Reliability Engineer at Danaher: we've got your application,2025-03-28,"Hello Michael Gary Scott,

We've received your application for the Site Reliability Engineer position at Danaher. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The Danaher Talent Team",in_process,0.7,in_process,neutral,0.0,Site Reliability Engineer,The Danaher,,,"hello michael gary scott, we've received your application for the site reliability engineer position at danaher. thank you for taking the time to apply and for considering joining us."
Walmart,New jobs that match your profile,2025-01-25,"Hi Michael Gary Scott,

We found new jobs that match your profile:

- Data Analyst at Instacart
- Business Analyst at Slack
- Software Engineer at Fortinet

Apply now on our platform!

If you wish to unsubscribe from these alerts, click here.

JobBoard Team",unrelated,0.85,unrelated,neutral,0.0,,,,,"hi michael gary scott, we found new jobs that match your profile: - data analyst at instacart - business analyst at slack - software engineer at fortinet apply now on our platform! if you wish to unsubscribe from these alerts, click here."
Stripe,Welcome to Stripe!,2025-04-03,"Dear Michael Gary Scott,

We are thrilled to welcome you to the Stripe family! Your offer for the UX Researcher position has been accepted, and we're excited to have you join us.

Your onboarding details:
- Start date: May 11, 2025
- Orientation: First day at 9:00 AM
- Location: Main campus, Building A

Before your start date, please complete the following:
1. Sign all onboarding documents
2. Set up your benefits enrollment
3. Complete the I-9 verification

We look forward to seeing you on May 11, 2025!

Amanda Davis
Onboarding Coordinator, Stripe",acceptance,0.95,acceptance,positive,1.0,,,,"May 11, 2025; May 11, 2025","your offer for the ux researcher position has been accepted, and we're excited to have you join us. complete the i-9 verification we look forward to seeing you on may 11, 2025!"
SpaceX,SpaceX - Application Decision,2025-03-26,"Micheal Gary Scott,

Thank you for your time and interest in the AI Engineer role at SpaceX. After careful evaluation, we've decided not to proceed with your application. This was a competitive search and we had to make some tough choices.

Your resume will remain in our database for future consideration.

Regards,
SpaceX Talent Team",rejection,0.95,rejection,negative,-1.0,AI Engineer,,,,"micheal gary scott, thank you for your time and interest in the ai engineer role at spacex. after careful evaluation, we've decided not to proceed with your application."
Spotify,UX Researcher at Spotify: we've got your application,2025-02-03,"Hello Michael Gary Scott,

We've received your application for the UX Researcher position at Spotify. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The Spotify Talent Team",in_process,0.7,in_process,neutral,0.0,UX Researcher,The Spotify,,,"hello michael gary scott, we've received your application for the ux researcher position at spotify. thank you for taking the time to apply and for considering joining us."
Goldman Sachs,Similar jobs you might like,2025-01-07,"Michael Gary Scott, based on your recent activity, we think you'll be interested in these roles:

Clinical Data Analyst at Mastercard - Posted 2 days ago
Machine Learning Engineer at DoorDash - Posted 3 days ago
Data Analyst at Salesforce - Posted 1 week ago

Apply with one click using your saved profile.

Job recommendations are based on your search history. Unsubscribe here.",unrelated,0.95,unrelated,neutral,0.0,,,,,"michael gary scott, based on your recent activity, we think you'll be interested in these roles: clinical data analyst at mastercard - posted 2 days ago machine learning engineer at doordash - posted 3 days ago data analyst at salesforce - posted 1 week ago apply with one click using your saved profile. job recommendations are based on your search history."
American Express,Coding Challenge: Customer Success Manager - American Express,2025-02-05,"Micheal Gary Scott,

We're impressed with your profile and would like to see your coding skills in action!

Please complete the following coding challenge for the Customer Success Manager role at American Express:

Platform: CodeSignal
Duration: 70 minutes
Languages: Python, Java, or C++
Deadline: March 26, 2025

The challenge will test data structures, algorithms, and problem-solving skills.

Good luck!
American Express Engineering Recruiting",action_required,0.95,action_required,positive,1.0,Customer Success Manager,,,"March 26, 2025","micheal gary scott, we're impressed with your profile and would like to see your coding skills in action! please complete the following coding challenge for the customer success manager role at american express: platform: codesignal duration: 70 minutes languages: python, java, or c deadline: march 26, 2025 the challenge will test data structures, algorithms, and problem-solving skills."
Coursera,Offer Letter - Financial Analyst at Coursera,2025-04-24,"Dear Michael Gary Scott,

Congratulations! We are excited to extend you an offer to join Coursera as a Financial Analyst.

Your start date is March 15, 2025. The compensation package includes:
- Base salary: $155,000
- Annual bonus target
- Full benefits package
- Stock options

Please sign and return the attached offer letter by the indicated deadline. If you have any questions about the offer or the onboarding process, don't hesitate to reach out.

We can't wait to have you on the team!

Best,
Daniel Wilson
Coursera People Team",acceptance,0.95,acceptance,positive,1.0,,,,"March 15, 2025","we are excited to extend you an offer to join coursera as a financial analyst. the compensation package includes: - base salary: 155,000 - annual bonus target - full benefits package - stock options please sign and return the attached offer letter by the indicated deadline."
Snowflake,Great news from Snowflake!,2025-03-30,"Dear Michael Gary Scott,

I am pleased to offer you the position of Clinical Data Analyst at Snowflake. After meeting with our interview panel, everyone was impressed with your skills and experience, and we believe you'll make a significant contribution to our team.

Please review the attached offer details and compensation package. Your proposed start date is March 05, 2025.

To accept, please sign the offer letter and return it to us. We're excited to have you!

Congratulations,
Laura White
VP of Talent, Snowflake",acceptance,0.95,acceptance,positive,1.0,,,,"March 05, 2025","dear michael gary scott, i am pleased to offer you the position of clinical data analyst at snowflake. after meeting with our interview panel, everyone was impressed with your skills and experience, and we believe you'll make a significant contribution to our team."
SpaceX,Complete your SpaceX application - Assessment Required,2025-04-28,"Hi Michael Gary Scott,

Congratulations on being selected to move forward in the hiring process for Senior Software Engineer at SpaceX!

To continue, please complete the following online assessment:

Assessment: Technical Skills Evaluation
Platform: HackerRank
Time limit: 90 minutes
Deadline: January 24, 2025

Please ensure you have a stable internet connection and a quiet environment.

Best of luck,
SpaceX Talent Team",action_required,0.95,action_required,positive,1.0,,,,"January 24, 2025","hi michael gary scott, congratulations on being selected to move forward in the hiring process for senior software engineer at spacex! to continue, please complete the following online assessment: assessment: technical skills evaluation platform: hackerrank time limit: 90 minutes deadline: january 24, 2025 please ensure you have a stable internet connection and a quiet environment."
Adobe,UX Researcher at Adobe: we've got your application,2025-02-06,"Hello Micheal Gary Scott,

We've received your application for the UX Researcher position at Adobe. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The Adobe Talent Team",in_process,0.7,in_process,neutral,0.0,UX Researcher,The Adobe,,,"hello micheal gary scott, we've received your application for the ux researcher position at adobe. thank you for taking the time to apply and for considering joining us."
Johnson & Johnson,Similar jobs you might like,2025-01-01,"Micheal Gary Scott, based on your recent activity, we think you'll be interested in these roles:

Full Stack Developer at OpenAI - Posted 2 days ago
Technical Writer at Intel - Posted 3 days ago
UX Designer at Airbnb - Posted 1 week ago

Apply with one click using your saved profile.

Job recommendations are based on your search history. Unsubscribe here.",unrelated,0.95,unrelated,neutral,0.0,,,,,"micheal gary scott, based on your recent activity, we think you'll be interested in these roles: full stack developer at openai - posted 2 days ago technical writer at intel - posted 3 days ago ux designer at airbnb - posted 1 week ago apply with one click using your saved profile. job recommendations are based on your search history."
DoorDash,Business Analyst at DoorDash: we've got your application,2025-04-27,"Hello Michael Gary Scott,

We've received your application for the Business Analyst position at DoorDash. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The DoorDash Talent Team",in_process,0.7,in_process,neutral,0.0,Business Analyst,The Door,,,"hello michael gary scott, we've received your application for the business analyst position at doordash. thank you for taking the time to apply and for considering joining us."
Humana,Application Acknowledged - Compliance Analyst,2025-03-05,"Dear Michael Gary Scott,

We are writing to confirm receipt of your application for the Compliance Analyst position at Humana (Ref: 457261).

Your application is being reviewed by our hiring managers. We will notify you of any changes to your application status.

Kind regards,
Humana Recruitment",rejection,0.55,in_process,negative,-1.0,Compliance Analyst,Humana Recruitment,,,"dear michael gary scott, we are writing to confirm receipt of your application for the compliance analyst position at humana ref: 457261 . your application is being reviewed by our hiring managers."
Rivian,Your weekly job digest,2025-01-02,"Hi Michael Gary Scott,

Here's your weekly roundup of jobs based on your preferences:

Capital One - Solutions Architect
Danaher - Research Scientist
Deloitte - Data Scientist
Waters Corporation - Technical Program Manager

See all recommendations on your dashboard.

To manage your notification preferences or unsubscribe, visit settings.

Best,
The Jobs Team",in_process,0.3,unrelated,neutral,0.0,,,,,"hi michael gary scott, here's your weekly roundup of jobs based on your preferences: capital one - solutions architect danaher - research scientist deloitte - data scientist waters corporation - technical program manager see all recommendations on your dashboard. best, the jobs team"
BlackRock,Your application to BlackRock has been submitted,2025-01-19,"Hello Michael Gary Scott,

This is to confirm that your application for the Engineering Manager role at BlackRock has been successfully submitted.

What happens next:
- Our team will carefully review your resume and qualifications
- If your experience matches our requirements, we will contact you
- You can check your application status at any time through our portal

Thank you for considering BlackRock as your next career step.

Best,
BlackRock Careers",in_process,0.85,action_required,positive,1.0,Engineering Manager,,,,"hello michael gary scott, this is to confirm that your application for the engineering manager role at blackrock has been successfully submitted. what happens next: - our team will carefully review your resume and qualifications - if your experience matches our requirements, we will contact you - you can check your application status at any time through our portal thank you for considering blackrock as your next career step."
Charles Schwab,Your weekly job digest,2025-04-19,"Hi Michael Gary Scott,

Here's your weekly roundup of jobs based on your preferences:

Thermo Fisher - Marketing Analyst
Datadog - Backend Engineer
Intuitive Surgical - Cloud Engineer
Visa - Data Analyst

See all recommendations on your dashboard.

To manage your notification preferences or unsubscribe, visit settings.

Best,
The Jobs Team",in_process,0.3,unrelated,neutral,0.0,,,,,"hi michael gary scott, here's your weekly roundup of jobs based on your preferences: thermo fisher - marketing analyst datadog - backend engineer intuitive surgical - cloud engineer visa - data analyst see all recommendations on your dashboard. best, the jobs team"
Atlassian,Update: Your application for Product Analyst,2025-04-23,"Dear Micheal Gary Scott,

We have completed our review of applications for the Product Analyst position at Atlassian. We appreciate your interest in this opportunity.

Regrettably, we will not be moving forward with your candidacy. The position has been filled by another candidate.

We wish you all the best in your career endeavors and encourage you to monitor our openings for future roles.

Best,
Christopher Martinez
Atlassian",rejection,0.95,rejection,negative,-0.6667,Product Analyst,,,,"dear micheal gary scott, we have completed our review of applications for the product analyst position at atlassian. regrettably, we will not be moving forward with your candidacy."
KPMG,Thank you for applying to KPMG!,2025-02-03,"Dear Micheal Gary Scott,

Thank you for applying to the AI Engineer position at KPMG. We have received your application and our recruiting team will review your qualifications carefully.

If your background aligns with our requirements, a member of our team will reach out to discuss next steps. Please note that due to the high volume of applications, this process may take several weeks.

In the meantime, you can track your application status through our careers portal.

Best regards,
KPMG Talent Acquisition",in_process,0.95,in_process,neutral,0.0,AI Engineer,,,,"we have received your application and our recruiting team will review your qualifications carefully. if your background aligns with our requirements, a member of our team will reach out to discuss next steps."
Coinbase,Coinbase | Application update,2025-03-07,"Hi Michael Gary Scott,

Thank you for your interest in the Actuarial Analyst role. We regret to inform you that we will not be moving forward with your candidacy for this position.

We encourage you to visit our website at careers.coinbase.com to view other opportunities that may align with your experience.

Best regards,
Coinbase Recruiting",rejection,0.95,rejection,negative,-1.0,Actuarial Analyst,Coinbase Recruiting,,,"hi michael gary scott, thank you for your interest in the actuarial analyst role. we regret to inform you that we will not be moving forward with your candidacy for this position."
Lyft,"Congratulations, Michael Gary Scott!",2025-03-01,"Dear Michael Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Product Analyst. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Lyft.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Stephanie Clark
Chief People Officer
Lyft",acceptance,0.95,acceptance,positive,1.0,,Stephanie Clark,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at lyft.
IQVIA,Application follow-up: IQVIA,2025-01-24,"Hi Michael Gary Scott,

Thank you for your interest in IQVIA! Unfortunately, we have decided not to proceed with your candidacy for the current Operations Analyst opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Samantha Young
IQVIA",rejection,0.95,rejection,negative,-0.6667,,Samantha Young,,,"unfortunately, we have decided not to proceed with your candidacy for the current operations analyst opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
Salesforce,"Congratulations, Micheal Gary Scott!",2025-02-25,"Dear Micheal Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Actuarial Analyst. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Salesforce.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Laura White
Chief People Officer
Salesforce",acceptance,0.95,acceptance,positive,1.0,,Laura White,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at salesforce.
Amazon,Please complete your application - Amazon,2025-01-25,"Dear Michael Gary Scott,

Your application for AI Engineer at Amazon is incomplete. To be considered for the role, please complete the following:

- Finish the online application form
- Submit your portfolio or work samples
- Complete the pre-employment questionnaire

Deadline: March 17, 2025

Log in to our careers portal to complete these items.

Thank you,
Amazon HR",action_required,0.95,action_required,neutral,0.0,AI Engineer at Amazon is incomplete. To be considered for the,,,"March 17, 2025","dear michael gary scott, your application for ai engineer at amazon is incomplete. to be considered for the role, please complete the following: - finish the online application form - submit your portfolio or work samples - complete the pre-employment questionnaire deadline: march 17, 2025 log in to our careers portal to complete these items."
Canva,Update: Your application for Actuarial Analyst,2025-03-11,"Dear Micheal Gary Scott,

We have completed our review of applications for the Actuarial Analyst position at Canva. We appreciate your interest in this opportunity.

Regrettably, we will not be moving forward with your candidacy. The position has been filled by another candidate.

We wish you all the best in your career endeavors and encourage you to monitor our openings for future roles.

Best,
Thomas Brown
Canva",rejection,0.95,rejection,negative,-0.6667,Actuarial Analyst,,,,"dear micheal gary scott, we have completed our review of applications for the actuarial analyst position at canva. regrettably, we will not be moving forward with your candidacy."
Instacart,Thank you for applying to Instacart,2025-01-02,"Dear Micheal Gary Scott,

Thank you very much for your recent application to the Compliance Analyst position at Instacart.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in Instacart and hope you'll consider us for future opportunities.

Best regards,
Emily Chen
Talent Acquisition, Instacart",rejection,0.95,rejection,neutral,0.0,Compliance Analyst,Emily Chen,,,"dear micheal gary scott, thank you very much for your recent application to the compliance analyst position at instacart. unfortunately, after careful review, we are unable to offer you a position at this time."
Cohere,Next Steps: AI Engineer position at Cohere,2025-02-24,"Dear Micheal Gary Scott,

Thank you for your interest in the AI Engineer role at Cohere. We were pleased with your initial application and would like to invite you to complete the next step in our process.

Please complete the following:
1. Online coding challenge (via CoderPad)
2. Short video introduction (2-3 minutes)

Both must be completed by March 11, 2025.

Access the assessment portal here: [Link]

Reach out if you need accommodations.

Cohere Hiring Team",action_required,0.95,action_required,positive,1.0,AI Engineer,,,"March 11, 2025","dear micheal gary scott, thank you for your interest in the ai engineer role at cohere. we were pleased with your initial application and would like to invite you to complete the next step in our process."
Wells Fargo,Job alert: Actuarial Analyst positions near you,2025-04-25,"Hi Micheal Gary Scott,

New jobs matching your saved search:

Investment Analyst - KPMG (Remote)
Research Scientist - Danaher (Hybrid)
Marketing Analyst - Hugging Face (On-site)

Don't miss out - apply today!

Manage alerts | Unsubscribe

LinkedIn Jobs",unrelated,0.85,unrelated,neutral,0.0,,,,,"hi micheal gary scott, new jobs matching your saved search: investment analyst - kpmg remote research scientist - danaher hybrid marketing analyst - hugging face on-site don't miss out - apply today! manage alerts unsubscribe linkedin jobs"
Adidas,Financial Analyst at Adidas: we've got your application,2025-01-27,"Hello Micheal Gary Scott,

We've received your application for the Financial Analyst position at Adidas. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The Adidas Talent Team",in_process,0.7,in_process,neutral,0.0,Financial Analyst,The Adidas,,,"hello micheal gary scott, we've received your application for the financial analyst position at adidas. thank you for taking the time to apply and for considering joining us."
OpenAI,Coding Challenge: Full Stack Developer - OpenAI,2025-02-22,"Micheal Gary Scott,

We're impressed with your profile and would like to see your coding skills in action!

Please complete the following coding challenge for the Full Stack Developer role at OpenAI:

Platform: CodeSignal
Duration: 70 minutes
Languages: Python, Java, or C++
Deadline: March 25, 2025

The challenge will test data structures, algorithms, and problem-solving skills.

Good luck!
OpenAI Engineering Recruiting",action_required,0.95,action_required,positive,1.0,Full Stack Developer,,,"March 25, 2025","micheal gary scott, we're impressed with your profile and would like to see your coding skills in action! please complete the following coding challenge for the full stack developer role at openai: platform: codesignal duration: 70 minutes languages: python, java, or c deadline: march 25, 2025 the challenge will test data structures, algorithms, and problem-solving skills."
Cloudflare,Thank you for applying to Cloudflare,2025-03-23,"Dear Micheal Gary Scott,

Thank you very much for your recent application to the Data Analyst position at Cloudflare.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in Cloudflare and hope you'll consider us for future opportunities.

Best regards,
Thomas Brown
Talent Acquisition, Cloudflare",rejection,0.95,rejection,neutral,0.0,Data Analyst,Thomas Brown,,,"dear micheal gary scott, thank you very much for your recent application to the data analyst position at cloudflare. unfortunately, after careful review, we are unable to offer you a position at this time."
Workday,Screening call - AI Engineer at Workday,2025-01-07,"Hi Micheal Gary Scott,

Thanks for your application to the AI Engineer position at Workday. Your profile caught our attention and we'd love to learn more about you.

I'd like to schedule a quick screening call to discuss your background and the opportunity. This would be a casual 20-minute conversation.

Are you free sometime this week?

Cheers,
Emily Chen
Talent Acquisition, Workday",interview,0.95,interview,positive,1.0,AI Engineer,,,,"hi micheal gary scott, thanks for your application to the ai engineer position at workday. i'd like to schedule a quick screening call to discuss your background and the opportunity."
